QQQE,Date
16.457563400268555,2012-11-01 00:00:00-04:00
16.457563400268555,2012-11-02 00:00:00-04:00
16.6600399017334,2012-11-05 00:00:00-05:00
16.6600399017334,2012-11-06 00:00:00-05:00
16.6600399017334,2012-11-07 00:00:00-05:00
16.6600399017334,2012-11-08 00:00:00-05:00
16.272693634033203,2012-11-09 00:00:00-05:00
16.272693634033203,2012-11-12 00:00:00-05:00
16.24188232421875,2012-11-13 00:00:00-05:00
16.24188232421875,2012-11-14 00:00:00-05:00
16.24188232421875,2012-11-15 00:00:00-05:00
16.00860023498535,2012-11-16 00:00:00-05:00
16.246288299560547,2012-11-19 00:00:00-05:00
16.281497955322266,2012-11-20 00:00:00-05:00
16.281497955322266,2012-11-21 00:00:00-05:00
16.281497955322266,2012-11-23 00:00:00-05:00
16.549999237060547,2012-11-26 00:00:00-05:00
16.616024017333984,2012-11-27 00:00:00-05:00
16.435550689697266,2012-11-28 00:00:00-05:00
16.862506866455078,2012-11-29 00:00:00-05:00
16.862506866455078,2012-11-30 00:00:00-05:00
16.862506866455078,2012-12-03 00:00:00-05:00
16.862506866455078,2012-12-04 00:00:00-05:00
16.849300384521484,2012-12-05 00:00:00-05:00
16.849300384521484,2012-12-06 00:00:00-05:00
16.90212059020996,2012-12-07 00:00:00-05:00
16.95494270324707,2012-12-10 00:00:00-05:00
17.11339569091797,2012-12-11 00:00:00-05:00
17.11339569091797,2012-12-12 00:00:00-05:00
17.11339569091797,2012-12-13 00:00:00-05:00
17.11339569091797,2012-12-14 00:00:00-05:00
17.175018310546875,2012-12-17 00:00:00-05:00
17.252836227416992,2012-12-18 00:00:00-05:00
17.416431427001953,2012-12-19 00:00:00-05:00
17.412023544311523,2012-12-20 00:00:00-05:00
17.142305374145508,2012-12-21 00:00:00-05:00
17.142305374145508,2012-12-24 00:00:00-05:00
17.142305374145508,2012-12-26 00:00:00-05:00
16.99197006225586,2012-12-27 00:00:00-05:00
